country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,0.441,0.441,0.682,0.682,0.682,0.682,0.682,0.569,0.569,0.569,0.569,0.569,0.537,0.537,0.537,0.537,0.537,0.553,0.553,0.553,0,0.727,0.567,0.567,0.567,0.567,0.613,0.139,0.139,0.139,0.139,0.507,0.328,0.328,0.328,0.328,0.735,0.168,0.168,0.168,0.168,0.168,0.323,0.323
Georgia,,,,,,,,,,,,,,,,,,0.671,0.671,0.671,0.544,0.544,0.544,0.544,0.588,0.653,0.653,0.653,0.548,0.561,0.561,0.561,0.561,0.554,0.554,0.554,0.554,0.59,0.473,0.473,0.473,0.473,0.473,0.51
Germany,0.887,0.838,0.838,0.838,0.838,0.818,0.818,0.818,0.81,0.81,0.81,0.81,0.75,0.75,0.75,0.731,0.731,0.731,0.731,0.724,0.724,0.724,0.724,0.753,0.753,0.753,0.753,0.735,0.735,0.735,0.72,0.72,0.72,0.72,0.646,0.646,0.646,0.646,0.66,0.66,0.66,0.66,0.691,0.691
Ghana,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0.601,0.601,0.601,0.601,0.825,0.825,0.825,0.825,0.651,0.651,0.651,0.651,0.8,0.8,0.8,0.8,0.698,0.698,0.698,0.698,0.822,0.822,0.822,0.822,0.822,0.822,0.822
Greece,0.827,0.827,0.824,0.824,0.824,0.824,0.845,0.845,0.845,0.845,0.873,0.873,0.873,0.873,0.858,0.858,0.858,0.858,0.856,0.856,0.856,0.839,0.839,0.839,0.839,0.89,0.89,0.89,0.89,0.877,0.877,0.877,0.796,0.796,0.792,0.792,0.792,0.694,0.694,0.694,0.706,0.706,0.706,0.706
Guatemala,0.256,0.256,0.256,0.208,0.208,0.208,0.208,0.307,0,0.307,0.498,0.498,0.498,0.498,0.498,0.498,0.319,0.319,0.319,0.145,0.263,0.263,0.263,0.263,0.311,0.311,0.311,0.311,0.423,0.423,0.423,0.423,0.572,0.572,0.572,0.572,0.7,0.7,0.7,0.7,0.626,0.626,0.626,0.626
Guinea,,,,,,,,,,,0,0,0,0,0,0,0,0,0.755,0.755,0.599,0.599,0.599,0.754,0.754,0.754,0.754,0.775,0.974,0.974,0.974,0.974,0.974,0.974,0,0.549,0.549,0.549,0.63,0.63,0.68,0.68,0.68,0.68
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.652,0.668,0.668,0.668,0.643,0.448,0.448,0.448,0.448,0,0.797,0.797,0.797,0.797,0.797
Haiti,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.363,0,0.538,0.527,0,0,0,0.331,0.331,0.331,0.331,0.331,0.683,0.683,0.683,0.683,0.683,0,0.478,0.478,0.478,0.478,0.478,0.189,0.189,0.189,0.189,0.278,0.278,0.278,0.278
Honduras,0,0,0,0,0,0.591,0.691,0.691,0.691,0.691,0.778,0.778,0.778,0.778,0.757,0.757,0.757,0.757,0.635,0.635,0.635,0.635,0.682,0.682,0.682,0.682,0.724,0.724,0.724,0.724,0.605,0.605,0.605,0.605,0.532,0.532,0.532,0.532,0.663,0.663,0.663,0.663,0.653,0.653
