country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,0.0757,0.0345,0.0345,0.0345,0.0345,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.0624,0.0624,0.0624,0.0975,0.263,0.337,0.337,0.376,0.396,0.396,0.396,0.396,0.396,0.401,0.401,0.401,0.401,0.401,0.411,0.411,0.411,0.411,0.411,0.396,0.396,0.396,0.396,0.396,0.39,0.375,0.375,0.417
Finland,0.604,0.604,0.604,0.601,0.604,0.604,0.604,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.682,0.682,0.7,0.7,0.7,0.7,0.7,0.7,0.706,0.706,0.706,0.706,0.7,0.7,0.7,0.712,0.712,0.712,0.712,0.712,0.712,0.734,0.73,0.73,0.724,0.724,0.713,0.713
France,0.847,0.847,0.847,0.847,0.847,0.847,0.849,0.849,0.849,0.849,0.849,0.847,0.847,0.849,0.849,0.849,0.849,0.849,0.847,0.847,0.847,0.847,0.849,0.849,0.849,0.849,0.849,0.847,0.847,0.847,0.847,0.847,0.862,0.862,0.862,0.862,0.862,0.912,0.911,0.911,0.911,0.911,0.706,0.719
Gabon,0.184,0.184,0.184,0.184,0.192,0.192,0.192,0.192,0.192,0.192,0.184,0.184,0.184,0.184,0.184,0.317,0.394,0.432,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.488,0.488,0.488,0.488,0.509,0.509,0.494,0.498,0.502,0.502,0.502,0.516,0.512,0.491
Gambia,0.69,0.69,0.69,0.69,0.69,0.686,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.676,0.676,0.676,0.641,0.351,0.147,0.267,0.413,0.441,0.441,0.441,0.456,0.457,0.457,0.457,0.457,0.448,0.469,0.469,0.469,0.469,0.469,0.437,0.459,0.459,0.459,0.475,0.609,0.639
Georgia,,,,,,,,,,,,,,,,,0.501,0.524,0.538,0.538,0.58,0.557,0.557,0.557,0.557,0.539,0.539,0.539,0.548,0.634,0.634,0.634,0.634,0.592,0.587,0.59,0.59,0.585,0.696,0.696,0.649,0.668,0.719,0.641
Germany,0.691,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.781,0.781,0.779,0.779,0.731,0.731,0.697,0.697,0.697,0.697
Ghana,0.11,0.11,0.11,0.175,0.515,0.515,0.325,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.155,0.513,0.535,0.535,0.535,0.559,0.559,0.559,0.559,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.612,0.612,0.652,0.652,0.652,0.654,0.654,0.64,0.636,0.651,0.66
Greece,0.74,0.74,0.747,0.747,0.747,0.747,0.74,0.74,0.74,0.74,0.747,0.747,0.747,0.747,0.74,0.74,0.74,0.763,0.763,0.763,0.763,0.767,0.767,0.767,0.767,0.763,0.763,0.763,0.763,0.759,0.759,0.759,0.773,0.773,0.773,0.773,0.773,0.788,0.747,0.747,0.733,0.733,0.733,0.733
Guatemala,0.381,0.381,0.381,0.359,0.359,0.359,0.359,0.311,0.253,0.36,0.416,0.467,0.467,0.467,0.467,0.47,0.47,0.47,0.47,0.475,0.527,0.553,0.567,0.567,0.567,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.621,0.621,0.621,0.621,0.621,0.6,0.684,0.684,0.719,0.719,0.677,0.621
Guinea,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.21,0.228,0.228,0.228,0.228,0.228,0.248,0.291,0.327,0.366,0.372,0.418,0.418,0.418,0.424,0.441,0.441,0.441,0.418,0.418,0.436,0.436,0.418,0.418,0.393,0.381,0.466,0.478,0.478,0.546,0.546,0.542,0.542,0.579,0.555
Guinea-Bissau,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.181,0.244,0.244,0.412,0.493,0.493,0.493,0.494,0.503,0.512,0.512,0.485,0.485,0.512,0.512,0.512,0.512,0.503,0.531,0.531,0.531,0.46,0.497,0.598,0.598,0.598,0.602,0.6
Haiti,0.206,0.206,0.23,0.23,0.239,0.23,0.23,0.23,0.23,0.23,0.23,0.282,0.426,0.456,0.445,0.518,0.445,0.406,0.406,0.469,0.522,0.522,0.518,0.518,0.523,0.534,0.534,0.534,0.534,0.515,0.483,0.526,0.53,0.53,0.522,0.532,0.51,0.51,0.51,0.51,0.55,0.55,0.598,0.633
Honduras,0.308,0.308,0.318,0.34,0.352,0.365,0.544,0.535,0.535,0.535,0.53,0.53,0.53,0.53,0.558,0.558,0.558,0.558,0.558,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.634,0.634,0.634,0.634,0.583,0.617,0.623,0.598,0.623,0.623,0.623,0.623,0.614,0.586
Hungary,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.139,0.139,0.156,0.239,0.404,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.683,0.683,0.683,0.732,0.689,0.689,0.689,0.604,0.563
India,0.486,0.486,0.485,0.55,0.55,0.55,0.55,0.55,0.55,0.559,0.559,0.559,0.559,0.559,0.55,0.55,0.559,0.559,0.559,0.559,0.582,0.572,0.572,0.582,0.577,0.577,0.577,0.577,0.577,0.572,0.572,0.572,0.572,0.572,0.586,0.586,0.586,0.586,0.621,0.621,0.654,0.641,0.632,0.624
Indonesia,0.32,0.32,0.285,0.285,0.285,0.285,0.285,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.269,0.269,0.269,0.269,0.269,0.299,0.373,0.561,0.598,0.598,0.598,0.598,0.584,0.584,0.584,0.584,0.584,0.585,0.585,0.571,0.571,0.575,0.575,0.612,0.612,0.612,0.599
Iran,0.151,0.134,0.134,0.151,0.406,0.426,0.294,0.266,0.223,0.213,0.202,0.184,0.199,0.226,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.248,0.334,0.346,0.346,0.352,0.352,0.352,0.352,0.317,0.327,0.31,0.31,0.304,0.289,0.327,0.327,0.327,0.285,0.285,0.285,0.275,0.289,0.289
Iraq,0.179,0.179,0.179,0.179,0.179,0.208,0.208,0.208,0.208,0.202,0.202,0.202,0.202,0.202,0.202,0.182,0.182,0.182,0.182,0.182,0.188,0.182,0.182,0.182,0.182,0.169,0.169,0.182,0.338,0.408,0.495,0.495,0.495,0.495,0.495,0.478,0.478,0.478,0.523,0.515,0.515,0.515,0.47,0.558
Ireland,0.724,0.724,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.733,0.733,0.733,0.733,0.733,0.728,0.728,0.728,0.728,0.728,0.724,0.724,0.724,0.724,0.724,0.76,0.76,0.76,0.75,0.758,0.758,0.745,0.745,0.745,0.718,0.718,0.683
Israel,0.645,0.645,0.642,0.651,0.651,0.651,0.634,0.634,0.634,0.629,0.641,0.641,0.641,0.629,0.637,0.637,0.637,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.64,0.64,0.64,0.635,0.635,0.635,0.635,0.624,0.624,0.624,0.624,0.593,0.567
Italy,0.789,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.794,0.794,0.794,0.794,0.794,0.789,0.789,0.789,0.789,0.789,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.786,0.786,0.786,0.786,0.737,0.718
